DISTRICT,id,Rainfall
"JALPAIGURI",328,29312.37
"KOCH BIHAR",329,35463.74
"UTTAR DINAJPUR",330,21571.95
"DAKSHIN DINAJPUR",331,22565.57
"MALDAH",332,20739.34
"MURSHIDABAD",333,25585.05
"BIRBHUM",334,29687.64
"BARDDHAMAN",335,32334.48
"NADIA",336,28620.25
"NORTH 24 PARGANAS",337,29295.47
"HUGLI",338,29060.98
"BANKURA",339,27579.79
"PURULIYA",340,18761.24
"HAORA",341,31890.85
"KOLKATA",342,32368.62
"SOUTH 24 PARGANAS",343,30010.43
"PASHCHIM MEDINIPUR",344,26996.98
"PURBA MEDINIPUR",345,27519.77
"DARJILING",775,35368.01
